subset,model,auc_recomputed,pr_auc_recomputed,excess_pr_over_prevalence_recomputed,prevalence_recomputed,n_rows_recomputed,negatives_recomputed,auc_paper,pr_auc_paper,excess_pr_over_prevalence_paper,prevalence_paper,n_rows_paper,negatives_paper,auc_abs_error,pr_auc_abs_error,excess_pr_over_prevalence_abs_error,prevalence_abs_error
strict_same_cell_power_augmented,Structural-prior control,0.4468198262959723,0.9866857070845458,-0.001739486205683427,0.9884251932902293,44234,512,0.4468198262959723,0.9866857070845458,-0.0017394862056834,0.9884251932902292,44234,512,0.0,0.0,2.710505431213761e-17,1.1102230246251565e-16
strict_same_cell_power_augmented,FRoGS-shortlist,0.4799545369750926,0.9885984863205965,0.00017329303036728305,0.9884251932902293,44234,512,0.4799545369750926,0.9885984863205964,0.0001732930303672,0.9884251932902292,44234,512,0.0,1.1102230246251565e-16,8.304988641238964e-17,1.1102230246251565e-16
strict_same_cell_power_augmented,GMPTI-shortlist,0.48483591998879283,0.9889922405323072,0.0005670472420779005,0.9884251932902293,44234,512,0.4848359199887928,0.9889922405323072,0.0005670472420779,0.9884251932902292,44234,512,5.551115123125783e-17,0.0,4.336808689942018e-19,1.1102230246251565e-16
strict_same_cell_power_augmented,Context-aware fusion control,0.5649074782861031,0.9890569301377543,0.000631736847525044,0.9884251932902293,44234,512,0.5649074782861031,0.9890569301377544,0.000631736847525,0.9884251932902292,44234,512,0.0,1.1102230246251565e-16,4.401860820291148e-17,1.1102230246251565e-16
strict_same_cell_power_augmented,VCCV,0.588075966833059,0.9900872960803979,0.0016621027901686514,0.9884251932902293,44234,512,0.5880759668330588,0.990087296080398,0.0016621027901686,0.9884251932902292,44234,512,1.1102230246251565e-16,1.1102230246251565e-16,5.139118297581291e-17,1.1102230246251565e-16
dose_proximal_power_augmented,Structural-prior control,0.4778061022543502,0.9854798982765318,-0.0010668643133961986,0.986546762589928,13900,187,0.4778061022543501,0.9854798982765318,-0.0010668643133961,0.986546762589928,13900,187,1.1102230246251565e-16,0.0,9.86623976961809e-17,0.0
dose_proximal_power_augmented,FRoGS-shortlist,0.4063941043492435,0.9842721936068188,-0.002274568983109182,0.986546762589928,13900,187,0.4063941043492435,0.9842721936068188,-0.0022745689831091,0.986546762589928,13900,187,0.0,0.0,8.196568423990414e-17,0.0
dose_proximal_power_augmented,GMPTI-shortlist,0.43280099175964415,0.9835413597411609,-0.003005402848767158,0.986546762589928,13900,187,0.4328009917596441,0.9835413597411607,-0.0030054028487671,0.986546762589928,13900,187,5.551115123125783e-17,1.1102230246251565e-16,5.811323644522304e-17,0.0
dose_proximal_power_augmented,Context-aware fusion control,0.5685997634470745,0.9872959848189211,0.0007492222289930961,0.986546762589928,13900,187,0.5685997634470745,0.9872959848189212,0.000749222228993,0.986546762589928,13900,187,0.0,1.1102230246251565e-16,9.606031248221569e-17,0.0
dose_proximal_power_augmented,VCCV,0.6073443716899262,0.9896754161876484,0.00312865359772041,0.986546762589928,13900,187,0.6073443716899262,0.9896754161876484,0.0031286535977204,0.986546762589928,13900,187,0.0,0.0,9.974659986866641e-18,0.0
